"Options_SK";"Transport_Method";"Payment_Method";"Ordering_Method"
1;"air";"cash";"email"
2;"n/a";"cash";"email"
3;"train";"cash";"email"
4;"truck";"cash";"email"
5;"air";"charge";"email"
6;"n/a";"charge";"email"
7;"train";"charge";"email"
8;"truck";"charge";"email"
9;"air";"cod";"email"
10;"n/a";"cod";"email"
11;"train";"cod";"email"
12;"truck";"cod";"email"
13;"air";"cash";"internet"
14;"n/a";"cash";"internet"
15;"train";"cash";"internet"
16;"truck";"cash";"internet"
17;"air";"charge";"internet"
18;"n/a";"charge";"internet"
19;"train";"charge";"internet"
20;"truck";"charge";"internet"
21;"air";"cod";"internet"
22;"n/a";"cod";"internet"
23;"train";"cod";"internet"
24;"truck";"cod";"internet"
25;"air";"cash";"phone"
26;"n/a";"cash";"phone"
27;"train";"cash";"phone"
28;"truck";"cash";"phone"
29;"air";"charge";"phone"
30;"n/a";"charge";"phone"
31;"train";"charge";"phone"
32;"truck";"charge";"phone"
33;"air";"cod";"phone"
34;"n/a";"cod";"phone"
35;"train";"cod";"phone"
36;"truck";"cod";"phone"
